Название|Жанр/Формат|Ограничение
Ведьмы| 12+ приключения  семейный  фэнтези|12+
Дедушка нелегкого поведения| 6+ комедия  семейный|6+
Повелитель драконов| 6+ |6+
Подольские курсанты| 12+ драма  исторический|12+
Кольская сверхглубокая| 16+ мистический триллер|16+
Кот под прикрытием| 6+ анимация  комедия  приключения|6+
Семейка Бигфутов| 6+ мультфильм|6+
Довод| 16+ боевик  триллер  фантастика|16+
Заклятье. Дом 32| 16+ хоррор|16+
Побочный эффект.| 16+ мистический триллер|16+
Вдова| 16+ триллер  ужасы|16+
Ведьмы |Фэнтези, Семейный, Приключения|12+
Дедушка нелегкого поведения|Комедия, Семейный|6+
Подольские курсанты |Драма, Исторический|12+
Повелитель Драконов|Анимация, Комедия|6+
Кольская сверхглубокая |Мистика, Триллер|16+
Побочный эффект |Мистика, Триллер|16+
Довод |Боевик, Фантастика, Триллер|16+
Кот под прикрытием |Анимация, Комедия, Приключения|6+
Выбивая долги|Криминальный, Триллер|18+
В чужой шкуре |Хоррор|18+
Вдова |Ужасы, Триллер|16+
Семейка Бигфутов |Анимация|6+
Откуда ты родом? |Драма, Музыка|18+
Глубже! |Комедия|16+
Пустошь тьмы и зла |Ужасы|18+
Опасный элемент|Биография, Драма|16+
Омен наследие|Драма, Триллер, Ужасы|18+
Любовь без размера |Комедия, Мелодрама|16+
Шкатулка дьявола|Хоррор|18+
Стрельцов |Драма, Спорт|6+
Женщина, которая убежала |Драма|16+
Друзья на свою голову|Комедия|16+
Доктор Лиза |Драма|16+
Сияние|Драма, Триллер, Ужасы|18+
8 c половиной |Драма|16+
Вечный свет |Драма, Триллер|18+
Еще по одной |Драма|18+
Дичь|Комедия, Триллер, Ужасы|18+
Дорогие товарищи! |Драма, Исторический|16+
Академия монстров |Анимация, Семейный|6+
Непосредственно Каха |Комедия, Приключения|12+
Цой |Драма|16+
Медвежонок Бамси и Замок Разбойников |Анимация|6+
Не все дома |Комедия|12+
Oscar Shorts 2020 LIVE ACTION |Драма, Комедия, Триллер|16+
Афера по-голливудски |Боевик, Комедия|16+
#АртЛекторийВкино: Фрида Кало |Документальный|12+
